,DataBase,IIE,CARGA,IO2,FOMPP
6679,2022-03-08,102.297747178561,9300.15119997776,1.94185472,100.0
6680,2022-03-09,104.277508981985,8928.09747009874,1.79945111,100.0
6681,2022-03-10,101.921716301558,9233.42121487315,1.78945541,100.0
6682,2022-03-11,101.279948869982,9300.03904418272,1.771716,100.0
6683,2022-03-12,100.677824064089,9299.97731238817,1.98049831,100.0
6684,2022-03-13,100.649502601438,8891.74779993976,1.86261809,100.0
6685,2022-03-14,102.561345104939,5566.44040849111,2.39802051,100.0
6686,2022-03-15,103.455074495241,5064.9873991133,2.26116729,100.0
6687,2022-03-16,105.57813518465,6354.71215710728,3.40010214,100.0
6688,2022-03-17,101.289155004453,8176.14521303105,1.846384,100.0
6689,2022-03-18,102.724826273731,8199.94498319784,2.0031836,100.0
6690,2022-03-19,103.614648098104,8422.61765969946,2.177845,100.0
6691,2022-03-20,104.517747657488,8299.38057113854,2.67295575,100.0
6692,2022-03-21,101.867918851528,9019.10862153173,2.05561519,100.0
6693,2022-03-22,101.064025043002,9759.106027437,1.47971249,100.0
6694,2022-03-23,101.489214032253,9913.86512726118,1.58639145,100.0
6695,2022-03-02,100.794419266775,9000.1008501723,2.09312272,100.0
6696,2022-02-19,109.523585395751,8600.36072594197,1.95103586,100.0
6697,2022-02-20,112.940679330477,8599.70978612713,2.0075345,100.0
6698,2022-02-21,114.418709208154,8601.5055133997,1.90631306,100.0
6699,2022-02-22,112.376103473376,8993.31539316762,1.94989347,100.0
6700,2022-02-23,108.610393566704,8632.20888292833,2.16921759,100.0
6701,2022-02-24,106.729194033128,8199.80723933118,2.50926852,100.0
6702,2022-02-25,104.358315704909,8203.31016106315,2.483278,100.0
6703,2022-02-26,101.274947555257,8595.4362950541,2.47895479,100.0
6704,2022-02-27,100.891634869586,8600.09157748423,2.54607463,100.0
6705,2022-02-28,101.327767642571,8642.48283534318,2.467857,100.0
6706,2022-03-01,100.929144369495,8999.67996814293,2.00699067,100.0
6707,2022-03-06,99.2182863768253,9296.43545773256,1.760136,100.0
6708,2022-03-07,99.6377989707177,9300.06633887276,1.94342911,100.0
6709,2021-09-18,102.514497108799,9019.9154886868,2.2721242318478256,100.0
6710,2021-09-20,102.610064737802,9019.95954043227,2.2721242318478256,100.0
6711,2021-09-21,102.354156769049,9020.07356193354,2.2721242318478256,100.0
6712,2021-09-22,101.459768302753,9019.9994441535,2.2721242318478256,100.0
6713,2021-09-23,103.132111217086,9020.09761743385,2.2721242318478256,100.0
6714,2021-09-24,103.588153221153,9059.42657775424,2.2721242318478256,100.0
6715,2021-09-25,102.95994099647,9113.22522361644,2.2721242318478256,100.0
6716,2021-09-26,102.606676423543,9108.07921491465,2.2721242318478256,100.0
6717,2021-09-27,102.96031722253,9099.97993491652,2.2721242318478256,100.0
6718,2021-09-28,103.52753045154,9064.01580328648,2.2721242318478256,100.0
6719,2021-09-29,105.045206023991,9001.63289362142,2.2721242318478256,100.0
6720,2021-09-17,102.373832841595,9019.86591855536,2.2721242318478256,100.0
6721,2021-10-12,102.623899894817,9182.48477168371,2.2721242318478256,100.0
6722,2021-10-13,101.227590389556,9515.94727591127,2.2721242318478256,100.0
6723,2021-10-14,101.644785973348,9499.99819914813,2.2721242318478256,100.0
6724,2021-10-15,104.556042945525,7357.06419273515,2.2721242318478256,100.0
6725,2021-10-16,98.3461655559539,7871.30157070828,2.2721242318478256,100.0
6726,2021-10-17,103.195213258945,9499.85627182365,2.2721242318478256,100.0
6727,2021-10-01,103.618198467403,9517.70719913163,2.2721242318478256,100.0
6728,2021-10-02,101.010007580082,9519.92746470154,2.2721242318478256,100.0
6729,2021-10-03,101.370282289411,9519.87912539333,2.2721242318478256,100.0
6730,2021-10-04,101.861207751182,9519.06247025139,2.2721242318478256,100.0
6731,2021-10-05,102.335638624253,9519.92109454832,2.2721242318478256,100.0
6732,2021-10-18,103.091241410917,9500.14001996913,2.2721242318478256,100.0
6733,2021-10-20,101.726609419759,9500.16065648036,2.2721242318478256,100.0
6734,2021-10-21,101.083624054685,9499.9019919291,2.2721242318478256,100.0
6735,2021-10-22,103.005688839898,9500.18460182466,2.2721242318478256,100.0
6736,2021-10-23,108.271563872658,9499.96814772428,2.2721242318478256,100.0
6737,2021-10-06,100.959493375216,9519.85535778725,2.2721242318478256,100.0
6738,2021-10-07,101.284774877049,9520.19497137563,2.2721242318478256,100.0
6739,2021-10-08,101.616942746076,9519.98508083909,2.2721242318478256,100.0
6740,2021-10-09,101.079051408468,9519.8215570829,2.2721242318478256,100.0
6741,2021-10-10,102.386799112243,9185.97571361439,2.2721242318478256,100.0
6742,2021-10-11,103.172870530973,9020.30882035926,2.2721242318478256,100.0
6743,2021-11-11,79.9475591408726,9574.45321982597,2.2721242318478256,100.0
6744,2021-11-12,80.3278985339136,9431.03272781882,2.2721242318478256,100.0
6745,2021-11-13,80.8691736511423,9600.03130553426,2.2721242318478256,100.0
6746,2021-11-15,79.8851970875062,9600.11772279047,2.2721242318478256,100.0
6747,2021-11-16,80.4280626380245,9599.85463655633,2.2721242318478256,100.0
6748,2021-11-05,104.105580184852,9935.76407521965,2.2721242318478256,100.0
6749,2021-10-24,107.970800968188,9499.88341242757,2.2721242318478256,100.0
6750,2021-11-06,103.952037422089,9927.81968717845,2.2721242318478256,100.0
6751,2021-10-25,96.7286157023652,9586.00773733048,2.2721242318478256,100.0
6752,2021-11-07,79.9344264783568,9940.01655580284,2.2721242318478256,100.0
6753,2021-10-26,93.9491829517888,9980.89458064038,2.2721242318478256,100.0
